id,year,player_name,image,player_id,height,weight,collage,born,birth_city,birth_state,position,age,team,g,gs,mp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,rtb,ast,stl,blk,tov,pf,pts,championships,mvps,allstar_selections,all_nba
1473,1960,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,23,PHW,72,,3338,1065,2311,,,1065,2311,577,991,,,1941,168,,,,150,2707,2,4,13,10
1593,1961,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,24,PHW,79,,3773,1251,2457,,,1251,2457,531,1054,,,2149,148,,,,130,3033,2,4,13,10
1679,1961,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,22,LAL,79,,2797,529,1264,,,529,1264,331,497,,,611,333,,,,213,1389,1,0,14,10
1706,1962,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,25,PHW,80,,3882,1597,3159,,,1597,3159,835,1363,,,2052,192,,,,123,4029,2,4,13,10
1803,1962,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,23,LAL,75,,3087,799,1795,,,799,1795,712,926,,,591,402,,,,173,2310,1,0,14,10
1827,1963,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,26,SFW,80,,3806,1463,2770,,,1463,2770,660,1113,,,1946,275,,,,136,3586,2,4,13,10
1938,1963,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,24,LAL,55,,2163,559,1213,,,559,1213,371,477,,,384,307,,,,150,1489,1,0,14,10
1962,1964,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,27,SFW,80,,3689,1204,2298,,,1204,2298,540,1016,,,1787,403,,,,182,2948,2,4,13,10
2073,1964,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,25,LAL,72,,2906,740,1529,,,740,1529,584,702,,,433,403,,,,200,2064,1,0,14,10
2099,1965,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,28,TOT,73,,3301,1063,2083,,,1063,2083,408,880,,,1673,250,,,,146,2534,2,4,13,10
2100,1965,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,28,SFW,38,,1743,636,1275,,,636,1275,208,500,,,893,117,,,,76,1480,2,4,13,10
2101,1965,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,28,PHI,35,,1558,427,808,,,427,808,200,380,,,780,133,,,,70,1054,2,4,13,10
2207,1965,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,26,LAL,74,,3066,822,1655,,,822,1655,648,789,,,447,364,,,,221,2292,1,0,14,10
2239,1966,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,29,PHI,79,,3737,1074,1990,,,1074,1990,501,976,,,1943,414,,,,171,2649,2,4,13,10
2343,1966,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,27,LAL,79,,3218,818,1731,,,818,1731,840,977,,,562,480,,,,243,2476,1,0,14,10
2366,1967,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,30,PHI,81,,3682,785,1150,,,785,1150,386,875,,,1957,630,,,,143,1956,2,4,13,10
2476,1967,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,28,LAL,66,,2670,645,1389,,,645,1389,602,686,,,392,447,,,,160,1892,1,0,14,10
2507,1968,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,31,PHI,82,,3836,819,1377,,,819,1377,354,932,,,1952,702,,,,160,1992,2,4,13,10
2649,1968,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,SG,29,LAL,51,,1919,476,926,,,476,926,391,482,,,294,310,,,,152,1343,1,0,14,10
2690,1969,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,32,LAL,81,,3669,641,1099,,,641,1099,382,857,,,1712,366,,,,142,1664,2,4,13,10
2855,1969,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,SG,30,LAL,61,,2394,545,1156,,,545,1156,490,597,,,262,423,,,,156,1580,1,0,14,10
2893,1970,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,33,LAL,12,,505,129,227,,,129,227,70,157,,,221,49,,,,31,328,2,4,13,10
3058,1970,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,31,LAL,74,,3106,831,1673,,,831,1673,647,785,,,338,554,,,,160,2309,1,0,14,10
3100,1971,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,34,LAL,82,,3630,668,1226,,,668,1226,360,669,,,1493,352,,,,174,1696,2,4,13,10
3297,1971,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,32,LAL,69,,2845,667,1351,,,667,1351,525,631,,,320,655,,,,180,1859,1,0,14,10
3345,1972,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,35,LAL,82,,3469,496,764,,,496,764,221,524,,,1572,329,,,,196,1213,2,4,13,10
3565,1972,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,33,LAL,77,,2973,735,1540,,,735,1540,515,633,,,327,747,,,,209,1985,1,0,14,10
3615,1973,Wilt Chamberlain,https://upload.wikimedia.org/wikipedia/he/9/93/Wilt_Chamberlain_100-point.jpg,494,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,C,36,LAL,82,,3542,426,586,,,426,586,232,455,,,1526,365,,,,191,1084,2,4,13,10
3835,1973,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,34,LAL,69,,2460,618,1291,,,618,1291,339,421,,,289,607,,,,138,1575,1,0,14,10
4080,1974,Jerry West,https://www.giantbomb.com/a/uploads/original/46/462814/3228903-6563642836-5f20a.jpg,527,188,79,West Virginia University,1938,Chelyan,West Virginia,PG,35,LAL,31,,967,232,519,,,232,519,165,198,30,86,116,206,81,23,,80,629,1,0,14,10
5748,1980,Larry Bird,https://images.sportsbrief.com/images/1120/cd9e90a3a52c2568.jpeg?v=1,1341,206,99,Indiana State University,1956,West Baden,Indiana,PF,23,BOS,82,82,2955,693,1463,58,143,635,1320,301,360,216,636,852,370,143,53,263,279,1745,3,3,12,10
5889,1980,Magic Johnson,https://i.pinimg.com/originals/8e/b9/48/8eb948bc03c7020f4a7ac88dc3d4002e.jpg,1366,201,98,"University of California, Los Angeles",1956,Nachitoches,Louisiana,SG,20,LAL,77,,2795,503,949,7,31,496,918,374,462,166,430,596,563,187,41,305,218,1387,5,3,12,10
